Module,Endpoint,Case ID,Type,Priority,Automation Status,Owner,Sprint,Scenario
Cross-Cutting,*,GEN-001,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-001 in module Cross-Cutting
Cross-Cutting,*,GEN-002,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-002 in module Cross-Cutting
Cross-Cutting,*,GEN-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-003 in module Cross-Cutting
Cross-Cutting,*,GEN-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-004 in module Cross-Cutting
Cross-Cutting,*,GEN-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-005 in module Cross-Cutting
Cross-Cutting,*,GEN-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-006 in module Cross-Cutting
Cross-Cutting,*,GEN-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-007 in module Cross-Cutting
Cross-Cutting,*,GEN-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-008 in module Cross-Cutting
Cross-Cutting,*,GEN-009,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-009 in module Cross-Cutting
Cross-Cutting,*,GEN-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-010 in module Cross-Cutting
Cross-Cutting,*,GEN-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-011 in module Cross-Cutting
Cross-Cutting,*,GEN-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-012 in module Cross-Cutting
Cross-Cutting,*,GEN-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-013 in module Cross-Cutting
Cross-Cutting,*,GEN-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-014 in module Cross-Cutting
Cross-Cutting,*,GEN-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-015 in module Cross-Cutting
Cross-Cutting,*,GEN-016,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-016 in module Cross-Cutting
Cross-Cutting,*,GEN-017,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-017 in module Cross-Cutting
Cross-Cutting,*,GEN-018,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-018 in module Cross-Cutting
Cross-Cutting,*,GEN-019,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-019 in module Cross-Cutting
Cross-Cutting,*,GEN-020,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-020 in module Cross-Cutting
Cross-Cutting,*,GEN-021,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-021 in module Cross-Cutting
Cross-Cutting,*,GEN-022,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-022 in module Cross-Cutting
Cross-Cutting,*,GEN-023,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-023 in module Cross-Cutting
Cross-Cutting,*,GEN-024,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-024 in module Cross-Cutting
Cross-Cutting,*,GEN-025,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-025 in module Cross-Cutting
Cross-Cutting,*,GEN-026,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-026 in module Cross-Cutting
Cross-Cutting,*,GEN-027,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-027 in module Cross-Cutting
Cross-Cutting,*,GEN-028,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-028 in module Cross-Cutting
Cross-Cutting,*,GEN-029,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-029 in module Cross-Cutting
Cross-Cutting,*,GEN-030,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for GEN-030 in module Cross-Cutting
Authentication,POST /api/users/sign_in,AUTH-001,Positive,P0,Automated,QE API Team,Sprint-0,Valid login returns success and user payload
Authentication,POST /api/users/sign_in,AUTH-002,Negative,P0,Automated,QE API Team,Sprint-0,Invalid password returns failure message
Authentication,POST /api/users/sign_in,AUTH-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-003 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-004 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-005 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-006 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-007 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-008 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-009,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-009 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-010 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-011 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-012 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-013 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-014 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-015 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-016,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-016 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-017,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-017 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-018,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-018 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-019,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-019 in module Authentication
Authentication,POST /api/users/sign_in,AUTH-020,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for AUTH-020 in module Authentication
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-001,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-002,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-003,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-004,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-005,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-006,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-007,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-008,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-009,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-010,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-011,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
2FA / OTP (Web Session),GET/POST /verify_otp, GET /resend_otp,OTP-012,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for  GET /resend_otp in module 2FA / OTP (Web Session)
Authorization / RBAC,Cross-endpoint,RBAC-001,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-001 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-002,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-002 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-003,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-003 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-004,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-004 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-005,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-005 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-006,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-006 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-007,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-007 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-008,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-008 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-009,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-009 in module Authorization / RBAC
Authorization / RBAC,Cross-endpoint,RBAC-010,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,Comprehensive test scenario for RBAC-010 in module Authorization / RBAC
Reports API,GET /api/reports/get_locations,RPT-001,Positive,P0,Automated,QE API Team,Sprint-0,Locations endpoint returns schema-valid response
Reports API,GET /api/reports/*,RPT-002,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-002 in module Reports API
Reports API,GET /api/reports/get_device_count,RPT-003,Positive,P0,Automated,QE API Team,Sprint-0,Device count endpoint returns expected response for valid query
Reports API,GET /api/reports/*,RPT-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-004 in module Reports API
Reports API,GET /api/reports/*,RPT-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-005 in module Reports API
Reports API,GET /api/reports/*,RPT-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-006 in module Reports API
Reports API,GET /api/reports/*,RPT-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-007 in module Reports API
Reports API,GET /api/reports/*,RPT-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-008 in module Reports API
Reports API,GET /api/reports/get_device_count,RPT-009,Negative,P0,Automated,QE API Team,Sprint-0,Missing required query params returns 400 with message
Reports API,GET /api/reports/*,RPT-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-010 in module Reports API
Reports API,GET /api/reports/*,RPT-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-011 in module Reports API
Reports API,GET /api/reports/*,RPT-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-012 in module Reports API
Reports API,GET /api/reports/*,RPT-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-013 in module Reports API
Reports API,GET /api/reports/*,RPT-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-014 in module Reports API
Reports API,GET /api/reports/*,RPT-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-015 in module Reports API
Reports API,GET /api/reports/*,RPT-016,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-016 in module Reports API
Reports API,GET /api/reports/*,RPT-017,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-017 in module Reports API
Reports API,GET /api/reports/*,RPT-018,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-018 in module Reports API
Reports API,GET /api/reports/*,RPT-019,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-019 in module Reports API
Reports API,GET /api/reports/*,RPT-020,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-020 in module Reports API
Reports API,GET /api/reports/*,RPT-021,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-021 in module Reports API
Reports API,GET /api/reports/*,RPT-022,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-022 in module Reports API
Reports API,GET /api/reports/*,RPT-023,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-023 in module Reports API
Reports API,GET /api/reports/*,RPT-024,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-024 in module Reports API
Reports API,GET /api/reports/*,RPT-025,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,Comprehensive test scenario for RPT-025 in module Reports API
API Key Reports,GET /reports/api_*,APIKEY-001,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-001 in module API Key Reports
API Key Reports,GET /reports/api_scan_details,APIKEY-002,Negative,P0,Automated,QE API Team,Sprint-0,Invalid api_key is rejected for scan details endpoint
API Key Reports,GET /reports/api_*,APIKEY-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-003 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-004 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-005 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-006 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-007 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-008 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-009,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-009 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-010 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-011 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-012 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-013 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-014 in module API Key Reports
API Key Reports,GET /reports/api_*,APIKEY-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for APIKEY-015 in module API Key Reports
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-001,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-001 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-002,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-002 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-003,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-003 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-004,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-004 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-005,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-005 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-006,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-006 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-007,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-007 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-008,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-008 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-009,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-009 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-010,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-010 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-011,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-011 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-012,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-012 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-013,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-013 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-014,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-014 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-015,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-015 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-016,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-016 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-017,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-017 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-018,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-018 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-019,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-019 in module Discoveries / Scan Control
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-020,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DSC-020 in module Discoveries / Scan Control
Devices / Assets,GET/POST/PATCH /devices/*,DEV-001,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-001 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-002,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-002 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-003 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-004 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-005 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-006 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-007 in module Devices / Assets
Devices / Assets,GET/POST/PATCH /devices/*,DEV-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,Comprehensive test scenario for DEV-008 in module Devices / Assets
